worker2_stage1-1    | [Stage1 Group 2] Starting, next stage: 172.32.0.14:13002, server: 172.32.0.10:12345
worker2_stage1-1    | [Stage1 Group 2] Loading MNIST data...
worker2_stage1-1    | [Stage1 Group 2] Processing images 30000 to 59999 (30000 total)
worker2_stage1-1    | [Stage1 Group 2] Pipeline stage initialized: 784→300, α=0.01, β=0.001
worker2_stage1-1    | [Stage1 Group 2] Starting epoch 1
worker2_stage1-1    | [Stage1 Group 2] Syncing after 1000 images (sync #1)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 22037858000.000ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 13367323000.000ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 76476296000.000ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 1000 images
worker2_stage1-1    | [Stage1 Group 2] Syncing after 2000 images (sync #2)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 4702790000.000ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 4533139000.000ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 26034812000.000ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 2000 images
worker2_stage1-1    | [Stage1 Group 2] Syncing after 3000 images (sync #3)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 3753498000.000ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 1919403000.000ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 24655061000.000ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 3000 images
worker2_stage1-1    | [Stage1 Group 2] Syncing after 4000 images (sync #4)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 3577041000.000ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 5146979000.000ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 26191545000.000ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 4000 images
worker2_stage1-1    | [Stage1 Group 2] Syncing after 5000 images (sync #5)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 20064004000.000ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 5423540000.000ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 43674196000.000ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 5000 images
worker2_stage1-1    | [Stage1 Group 2] Syncing after 6000 images (sync #6)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 18163072000.000ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 5929847000.000ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 44413911000.000ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 6000 images
worker2_stage1-1    | [Stage1 Group 2] Syncing after 7000 images (sync #7)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 1694309000.000ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 1751633000.000ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 21350448000.000ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 7000 images
worker2_stage1-1    | [Stage1 Group 2] Syncing after 8000 images (sync #8)
worker2_stage1-1    | [Worker 2] Sent 235200 HIDDEN weights in 2705702000.000ms
worker2_stage1-1    | [Worker 2] Received 235200 HIDDEN center weights in 3208636000.000ms
worker2_stage1-1    | [Worker 2] HIDDEN sync completed in 25885715000.000ms
worker2_stage1-1    | [Stage1 Group 2] Successfully synced weights
worker2_stage1-1    | [Stage1 Group 2] Processed 8000 images
worker1_stage2-1    | [Stage2 Group 1] Starting, listening on port 13001, server: 172.32.0.10:12345
worker1_stage2-1    | [Stage2 Group 1] Pipeline stage initialized: 300→10, α=0.01, β=0.001
worker1_stage2-1    | [Stage2 Group 13001] Activation server ready on port 16
worker1_stage2-1    | [Stage2 Group 1] Syncing after 1000 images (sync #1), avg_loss=0.093175
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 46854000.000ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 49870000.000ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 923129000.000ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 1000 images
worker1_stage2-1    | [Stage2 Group 1] Syncing after 2000 images (sync #2), avg_loss=0.092619
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 48924000.000ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 114703000.000ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 979524000.000ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 2000 images
worker1_stage2-1    | [Stage2 Group 1] Syncing after 3000 images (sync #3), avg_loss=0.091807
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 284485000.000ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 25262000.000ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1190926000.000ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 3000 images
worker1_stage2-1    | [Stage2 Group 1] Syncing after 4000 images (sync #4), avg_loss=0.091809
worker1_stage2-1    | [Worker 1] Sent 3000 OUTPUT weights in 77599000.000ms
worker1_stage2-1    | [Worker 1] Received 3000 OUTPUT center weights in 330384000.000ms
worker1_stage2-1    | [Worker 1] OUTPUT sync completed in 1725572000.000ms
worker1_stage2-1    | [Stage2 Group 1] Successfully synced weights
worker1_stage2-1    | [Stage2 Group 1] Processed 4000 images
worker1_stage2-1    | [Stage2 Group 1] Syncing after 5000 images (sync #5), avg_loss=0.091991
